Time,"Ride Time","Ride Time (secs)","Stopped Time","Stopped Time (secs)",Latitude,Longitude,"Elevation (feet)","Distance (miles)","Speed (mph)",Pace,"Pace (secs)","Average Speed (mph)","Average Pace","Average Pace (secs)","Ascent (feet)","Descent (feet)",Calories
"2013-09-05 18:32:50",0:00:06,5.5,0:00:00,0.0,41.6627381,-91.5353142,705,0.00,1.38,0:43:37,2617,0.00,0:00:00,0,0,0,0
"2013-09-05 18:33:00",0:00:16,15.5,0:00:00,0.0,41.6627282,-91.5353869,698,0.00,1.38,0:43:37,2617,0.89,1:07:40,4060,0,0,0
"2013-09-05 18:33:01",0:00:17,16.5,0:00:00,0.0,41.6626534,-91.5354813,696,0.01,3.93,0:15:17,917,2.38,0:25:12,1512,0,0,0
"2013-09-05 18:33:02",0:00:18,17.6,0:00:00,0.0,41.6626413,-91.5355375,693,0.01,4.99,0:12:02,722,2.86,0:21:00,1260,0,0,0
"2013-09-05 18:33:05",0:00:21,20.5,0:00:00,0.0,41.6626718,-91.5356930,688,0.02,8.10,0:07:24,444,3.90,0:15:22,922,0,0,1
"2013-09-05 18:33:07",0:00:23,22.5,0:00:00,0.0,41.6625946,-91.5360719,703,0.04,15.43,0:03:53,233,6.81,0:08:49,529,42,0,2
"2013-09-05 18:33:10",0:00:26,25.5,0:00:00,0.0,41.6625257,-91.5360961,755,0.05,16.57,0:03:37,217,6.71,0:08:57,537,63,0,3
"2013-09-05 18:33:16",0:00:31,31.5,0:00:00,0.0,41.6627482,-91.5360471,765,0.06,14.60,0:04:07,247,7.21,0:08:19,499,85,23,6
"2013-09-05 18:33:26",0:00:42,41.5,0:00:00,0.0,41.6632332,-91.5359891,753,0.10,12.35,0:04:52,292,8.39,0:07:09,429,85,39,9
"2013-09-05 18:33:32",0:00:48,47.5,0:00:00,0.0,41.6636025,-91.5360591,725,0.12,14.33,0:04:11,251,9.27,0:06:28,388,85,47,10
"2013-09-05 18:33:34",0:00:49,48.8,0:00:00,0.0,41.6636510,-91.5361106,719,0.13,14.43,0:04:10,250,9.35,0:06:25,385,85,51,10
"2013-09-05 18:33:35",0:00:51,50.7,0:00:00,0.0,41.6637733,-91.5363726,710,0.14,17.51,0:03:26,206,10.13,0:05:55,355,85,66,10
"2013-09-05 18:33:40",0:00:56,55.5,0:00:00,0.0,41.6637492,-91.5370891,687,0.18,23.56,0:02:33,153,11.66,0:05:09,309,85,101,10
"2013-09-05 18:33:41",0:00:57,56.5,0:00:00,0.0,41.6637395,-91.5372380,682,0.19,23.94,0:02:30,150,11.94,0:05:01,301,85,108,10
"2013-09-05 18:33:42",0:00:58,57.5,0:00:00,0.0,41.6636358,-91.5373884,680,0.20,26.00,0:02:18,138,12.40,0:04:50,290,85,108,10
"2013-09-05 18:33:44",0:01:00,59.6,0:00:00,0.0,41.6636369,-91.5375808,674,0.21,26.85,0:02:14,134,12.57,0:04:46,286,85,108,11
"2013-09-05 18:33:49",0:01:05,64.6,0:00:00,0.0,41.6632776,-91.5375979,673,0.23,22.90,0:02:37,157,12.97,0:04:38,278,85,108,11
"2013-09-05 18:33:50",0:01:06,65.5,0:00:00,0.0,41.6631768,-91.5377789,674,0.24,23.32,0:02:34,154,13.44,0:04:28,268,85,108,11
"2013-09-05 18:33:55",0:01:11,70.6,0:00:00,0.0,41.6627940,-91.5377970,676,0.27,20.66,0:02:54,174,13.82,0:04:20,260,85,108,13
"2013-09-05 18:33:56",0:01:12,71.6,0:00:00,0.0,41.6627152,-91.5378238,676,0.28,20.77,0:02:53,173,13.92,0:04:19,259,85,108,14
"2013-09-05 18:33:57",0:01:13,72.5,0:00:00,0.0,41.6625954,-91.5376288,676,0.29,23.22,0:02:35,155,14.38,0:04:10,250,85,108,14
"2013-09-05 18:34:05",0:01:21,80.6,0:00:00,0.0,41.6623135,-91.5376404,669,0.31,14.94,0:04:01,241,13.80,0:04:21,261,85,108,15
"2013-09-05 18:34:06",0:01:22,81.6,0:00:00,0.0,41.6622365,-91.5378180,669,0.32,16.71,0:03:35,215,14.10,0:04:15,255,85,108,15
"2013-09-05 18:34:12",0:01:28,87.6,0:00:00,0.0,41.6618400,-91.5377844,669,0.35,18.73,0:03:12,192,14.27,0:04:12,252,85,108,17
"2013-09-05 18:34:13",0:01:29,88.5,0:00:00,0.0,41.6617793,-91.5376614,669,0.35,21.42,0:02:48,168,14.42,0:04:10,250,85,108,17
"2013-09-05 18:34:22",0:01:38,97.6,0:00:00,0.0,41.6613370,-91.5376694,667,0.39,13.67,0:04:23,263,14.21,0:04:13,253,85,108,19
"2013-09-05 18:34:27",0:01:43,102.5,0:00:00,0.0,41.6612846,-91.5383135,671,0.42,17.63,0:03:24,204,14.70,0:04:05,245,85,108,21
"2013-09-05 18:34:30",0:01:46,105.6,0:00:00,0.0,41.6612826,-91.5386226,675,0.43,19.52,0:03:04,184,14.82,0:04:03,243,85,108,23
"2013-09-05 18:34:31",0:01:47,106.5,0:00:00,0.0,41.6613373,-91.5387194,676,0.44,19.93,0:03:01,181,14.91,0:04:02,242,85,108,23
"2013-09-05 18:34:38",0:01:54,113.6,0:00:00,0.0,41.6613259,-91.5394099,686,0.48,19.01,0:03:09,189,15.12,0:03:58,238,85,108,26
"2013-09-05 18:34:40",0:01:56,115.5,0:00:00,0.0,41.6613529,-91.5396290,689,0.49,18.90,0:03:10,190,15.22,0:03:57,237,85,108,27
"2013-09-05 18:34:41",0:01:57,116.5,0:00:00,0.0,41.6613940,-91.5397579,691,0.50,20.07,0:02:59,179,15.31,0:03:55,235,85,108,27
"2013-09-05 18:34:42",0:01:58,117.5,0:00:00,0.0,41.6612975,-91.5398085,692,0.50,20.24,0:02:58,178,15.40,0:03:54,234,85,108,28
"2013-09-05 18:34:43",0:01:59,118.7,0:00:00,0.0,41.6613329,-91.5399273,692,0.51,20.58,0:02:55,175,15.45,0:03:53,233,85,108,28
